comment,product_id,rating,reviewer,sku,submissionTime,title
"I would highly recommend the 39"" Insignia TV. The picture is big enough and definitely clear. Great value for the price.",34422927,5,,2125035,8/5/14 21:40,Great picture
"For carpal tunnel, this mouse allows my hand to rest in one position without strain. The track ball and buttons are positioned nicely. There is also a spin wheel allowing for easy scrolling up and down.",34422917,5,MRdL,1260761,8/5/14 21:39,No Cords on my desk!
I've been using it for about a month and it has not given me any problems,34422914,4,Josehs,1297054,8/5/14 21:39,great mouse for the price
"Good packeging and a great movie, no regrets really happy with the product",34422891,4,Josehs,3977051,8/5/14 21:37,great movie
Upgraded from the iPad 2nd generation. Huge difference in speed and clarity.,34422885,5,MRdL,2579054,8/5/14 21:36,Love the Air
"""Yozora's an abrasive loudmouth whose only friend at school is imaginary... She knows she's difficult -- which makes her better off than Kodaka, a new transfer student who picked up an undeserved bad reputation the second he stepped on campus. Inspired by their shared status as social catastrophies, the two loners unite and start the Neighbors Club, an organization dedicated to finding other misfits and making friends. In no time, a third member joins their ranks: Sena, a pretty, popular rich girl who annoys Yozora to no end. With Kodaka in the middle of the chaos, the brash brunette and the blonde boy-magnet go round and round, even as the Neighbors Club begins to grow. Hopefully, the girls can get past their rivalry. Because sometimes the friendship you're looking for is right in front of you. And sometimes the best friends are the friends you never even wanted.""
Haganai: I Don't Have Many Friends, AKA Boku wa Tomodachi ga Sukunai, is a series that I avoided for a pretty long time. All I knew was that it was a show about people that don't have any friends and its covergirl was a big-boobed blonde girl. Just wasn't up my alley on shows that I had to watch. A 2nd season is currently airing in Japan and it's getting even more popular. I probably would have skipped over it completely except that my store got a couple copies in and I decided to purchase it.
All-in-all, the show is about a group of social outcasts that form a club together and embark on silly and stupid everyday adventures from playing games in the clubroom to going to the water park. What it lacks in action, it makes up with comedy and perversion. Sena and Yozora practically have a S&amp;M relationship although they hate each other's guts. Kodaka is smart and a good cook but is pretty dense when it comes to people. Yukimura is a dreaded ""Trap""...a guy who you would swear up and down is a girl. And Rika ia the most perverted scientist you'll ever meet. And then you have Kodaka's little sister and their 10-year old club advisor. It's a pretty diverse group of characters.
I enjoyed watching the series and would like to see how it pans out, so I plan on watching the 2nd season soon. I don't foresee it as a series that I'll go back and watch over and over, but parts of it definitely had me ROFLing. As much as I love a little T&amp;A, they focused on the jiggling for Sena a bit too much. Detracted from the series in my opinion. Opening and closing themes were decent but not my favorites. Extras were pretty much clean songs, 2 commentaries, and lots of trailers and promos.",34422825,4,Dval,21494053,8/5/14 21:30,Making friends the wrong way!
I am totally enjoying my new t v.can't wait to get a bigger one.,34422718,4,sandhillcrane,5578649,8/5/14 21:22,the samsung is what you expect it to be.
"We replaced a Sears Kenmore stove with this LG model. We have been extremely impressed with the cooking performance of this stove. We purchased the stove open box, paid 1/2 price and have zero regrets. If you are looking for a stove but this one!",34422705,5,LGFan611,9811018,8/5/14 21:20,Best oven we have owned
I love this thing (as I work on it now)! Easy to use!,34422622,5,CDizzleWizzle,1712136,8/5/14 21:09,"Fast and durable, so far!"
This is a decent antenna. Where we live it is hard to pick up any channels and this antenna gets 5 of them. I am satisfied with it.,34422568,4,catz,8280843,8/5/14 21:04,Pretty good antenna
"bought this for my teen, has been a great protection for new iphone against dropping and dust and stylish enough for a teenager",34422567,5,Gin2themax,2711458,8/5/14 21:04,lifeproof case for iphone 5s
I wanted a red phone and liked it when I first saw it. It is fairly easy to use,,,,,,
even as a new product for someone who is not a techy.,34422466,5,Neaty,6815014,8/5/14 20:57,Love the look of this cordless phone!
Owned for about a month. Exactly what we expected. No issues as of yet.,34422432,5,Wayne,8822544,8/5/14 20:54,"As Advertised. Good Value, Good Quality"
We bought this tv for our son. We have an insignia 50 inch and are very pleased with it. We have had it for about 5 years and haven't had any problems with it so that's why we bought the same brand for our son. It has a great picture and very good sound! He said his works good too.,34422257,4,catz,3356036,8/5/14 20:41,Great tv
This stylus works just as good as an expensive stylus.,34422251,5,Marilyn99999,8925975,8/5/14 20:40,Great stylus
It's a great tale about an unknown photographer told by people who met her. Enjoyed the stories and the pictures!,34422213,5,mg6020,25312275,8/5/14 20:37,Great documentary!
I am still learning to get around an Apple. I thought it would be much harder than it is. I am So happy that we purchased this!,34422182,5,RoyNColette,5852008,8/5/14 20:34,Love this computer
This is a great way to get all these movies for one low price.,34422155,5,Sktlz,5387204,8/5/14 20:33,It's the X-MEN
The movie made me cry. It is absolutely a great movie that I think everyone needs to see.,34422133,5,Sktlz,9717226,8/5/14 20:31,Amazing movie
We bought this as a gift for our grandkids. They had one that they got for Christmas and someone stole it so we wanted to get them another one. They love it!!! My grandson loves to tell me about playing mine craft on it.,34422124,5,catz,9267058,8/5/14 20:30,Kids love their xbox 360
I am in the process of changing my DVD's over to Blu-ray and this was a great way to add these 3 movies for a nice low price.,34422111,5,Sktlz,5747151,8/5/14 20:29,Great Trilogy
Picture perfect quality for the price. No complaints here. The sales lady recommended this product &amp; it does what it is suppose to do.,34422024,5,Chiq4U,3720002,8/5/14 20:24,Works as it should.
this is a great tablet. It is easy to use and navigate.,34422023,5,murtsis2416,1807344,8/5/14 20:24,Great tablet.
I purchased this memory card for my new DSLR (another BB purchase). it has a quick read/write speed that helps my DSLR take multiple pictures per second.,34421995,5,wombat88,3142635,8/5/14 20:22,hi-speed memory card
"Very stable on dashboard, it's very easy to use, we love it!",34421956,5,SoccerT,8231861,8/5/14 20:20,Great GPS system
Easy to set up &amp; installations. I bought for my son as a gift because he is unable to get cable right now. &amp; he absolutely loves it.,34421930,5,Chiq4U,3412007,8/5/14 20:18,Great Picture Quality
The sandlot is a great movie that explains camaraderie and all expense fun.,34421916,5,movieperson825,4371156,8/5/14 20:17,Childhood Classic lives on
My old one broke and my friend told me about this one and I'm very happy with it.,34421917,5,justme1,7098599,8/5/14 20:17,Excellent processor
Love the size and color and clairty..you feel like your able to touch the people on the screen,34421888,5,ZekeeMar,4376023,8/5/14 20:15,Great Picture and size
There is nothing better than the run of the mill Disney chain flick.,34421878,3,movieperson825,9636019,8/5/14 20:15,Typical Disney shannigans
It was alright movie. Nothing like it could have been if it was done Disney,34421871,3,movieperson825,2209076,8/5/14 20:14,It meets the standard.
I was looking for a new toaster and glad I picked this one.,34421856,5,justme1,3154037,8/5/14 20:14,Great toaster
It is a great alternative to the typical Disney princess movies.,34421849,4,movieperson825,9347931,8/5/14 20:13,Great for the nieces
A very good coming to age story. Only situations that affect oneself does a person finally realize situations.,34421827,4,movieperson825,7388393,8/5/14 20:11,Great classic
"This movie is easily one of my favorite all time comedies. If you have worked in an office, you will instantly relate. There are so many quotable lines I go to in my daily routine. The dry humor is just on it's own level.",34421822,5,Seanm78,9172316,8/5/14 20:11,An undeniable comedy classic
Is just the right everything for the extra summer fridge!,34421790,5,Rosco,9716724,8/5/14 20:09,Great extra fridge
One of Mark Wahlberg's unknown better movies. Nothing like brothers sticking up for one another,34421769,4,movieperson825,7388144,8/5/14 20:09,Movie of brotherly love
This is a great action movie with suspense and humor,34421761,4,movieperson825,5300026,8/5/14 20:08,Great action flick
we bought this dvd for our daughters &amp; they really like it,34421735,5,,3613212,8/5/14 20:05,awesome movie
we bought this dvd for our daughters and they love it,34421722,5,,5585245,8/5/14 20:04,Favorite family movie
this micro sd card is perfect for my son's tablet. it works great and was the least inexpensive compared to the others.,34421697,5,cindy,1300059,8/5/14 20:02,great buy
"Overall a great console, only bad things are slow downloads for the initial set up and the price. If you have money and time, and love to game, this is definitely recommended.",34421657,4,gamerboy72032,6258002,8/5/14 20:00,"Great console for kids, teens and adults"
"I bought a hydro edge and had it about two .months and went to get the hydo icon, bcuz the hydo edge erased my micro SD card and made it non recognizable to the phone.",34421606,5,3inchmonster,6345148,8/5/14 19:52,Better than the Hydro Edge
The comedy is great! This will have you crackin up,34421558,4,airree,4677029,8/5/14 19:47,great movie
This movie drags and I see why it didn't last in theaters,34421547,2,airree,4539111,8/5/14 19:46,movie is slow
